         410628875 function calls (409984089 primitive calls) in 620.612 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.001    0.287    0.144 dataloader.py:1037(__init__)
        2    0.000    0.000    0.278    0.139 _serialization.py:87(load)
     2946    0.026    0.000    0.274    0.000 utils.py:1476(assert_allclose)
     6397    0.270    0.000    0.270    0.000 {method 'float' of 'torch._C._TensorBase' objects}
      246    0.004    0.000    0.265    0.001 DecaDecoder.py:60(forward)
    18772    0.262    0.000    0.262    0.000 {method 'join' of 'bytes' objects}
       35    0.000    0.000    0.261    0.007 codegen.py:654(add_ir_module)
        8    0.000    0.000    0.260    0.032 process.py:110(start)
        8    0.000    0.000    0.259    0.032 context.py:222(_Popen)
        8    0.000    0.000    0.259    0.032 context.py:274(_Popen)
        8    0.000    0.000    0.259    0.032 popen_fork.py:15(__init__)
        8    0.001    0.000    0.258    0.032 popen_fork.py:66(_launch)
        8    0.257    0.032    0.257    0.032 {built-in method posix.fork}
     2946    0.030    0.000    0.247    0.000 utils.py:701(assert_array_compare)
       24    0.000    0.000    0.242    0.010 codegen.py:720(_finalize_final_module)
      982    0.002    0.000    0.239    0.000 <__array_function__ internals>:177(einsum)
        6    0.000    0.000    0.232    0.039 hub.py:663(load_state_dict_from_url)
      982    0.001    0.000    0.232    0.000 einsumfunc.py:997(einsum)
      982    0.230    0.000    0.230    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
        2    0.228    0.114    0.228    0.114 {built-in method torch.import_ir_module}
    25739    0.043    0.000    0.226    0.000 pathlib.py:658(_parse_args)
     3928    0.124    0.000    0.222    0.000 format.py:699(search_write_format)
        1    0.199    0.199    0.221    0.221 DecaUtils.py:147(generate_triangles)
    11784    0.027    0.000    0.219    0.000 PngImagePlugin.py:1011(putchunk)
    36900    0.015    0.000    0.217    0.000 activation.py:97(forward)
     7900    0.068    0.000    0.215    0.000 pathlib.py:321(_resolve)
      246    0.007    0.000    0.215    0.001 {built-in method _pickle.loads}
     2946    0.018    0.000    0.210    0.000 utils.py:660(convert_to_float)
     7902    0.033    0.000    0.205    0.000 request.py:89(__init__)
       24    0.000    0.000    0.205    0.009 codegen.py:967(_finalize_specific)
     3012    0.102    0.000    0.205    0.000 net_s3fd.py:14(forward)
   553681    0.198    0.000    0.199    0.000 module.py:1194(__getattr__)
     3974    0.016    0.000    0.198    0.000 ImageFile.py:92(__init__)
       12    0.000    0.000    0.197    0.016 ResNet.py:49(_make_layer)
        8    0.000    0.000    0.196    0.024 module.py:1534(load_state_dict)
   1259/8    0.003    0.000    0.195    0.024 module.py:1572(load)
      246    0.002    0.000    0.195    0.001 reductions.py:296(rebuild_storage_fd)
       24    0.000    0.000    0.194    0.008 codegen.py:586(_optimize_final_module)
       48    0.000    0.000    0.194    0.004 passmanagers.py:203(run)
        4    0.000    0.000    0.193    0.048 _api.py:62(get_state_dict)
     3928    0.004    0.000    0.192    0.000 PngImagePlugin.py:1029(write)
       12    0.000    0.000    0.191    0.016 resnet.py:225(_make_layer)
     1259    0.058    0.000    0.191    0.000 module.py:1440(_load_from_state_dict)
       50    0.000    0.000    0.190    0.004 codegen.py:1030(wrapper)
       24    0.000    0.000    0.189    0.008 executionengine.py:87(finalize_object)
    11884    0.015    0.000    0.189    0.000 pathlib.py:678(_from_parts)
     3974    0.002    0.000    0.187    0.000 format.py:187(can_read)
     2946    0.003    0.000    0.187    0.000 dtype.py:442(img_as_float)
     3974    0.014    0.000    0.185    0.000 pillow.py:101(_can_read)
      246    0.001    0.000    0.184    0.001 resource_sharer.py:55(detach)
        9    0.005    0.001    0.183    0.020 {method 'load' of '_pickle.Unpickler' objects}
        4    0.000    0.000    0.181    0.045 serialization.py:989(_load)
1799205/1759151    0.125    0.000    0.179    0.000 {built-in method builtins.isinstance}
       48    0.000    0.000    0.175    0.004 ResNet.py:87(__init__)
     3974    0.027    0.000    0.175    0.000 PngImagePlugin.py:673(_open)
    25743    0.079    0.000    0.172    0.000 pathlib.py:64(parse_parts)
     3444    0.171    0.000    0.171    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
       48    0.000    0.000    0.170    0.004 resnet.py:117(__init__)
     7902    0.048    0.000    0.169    0.000 request.py:133(_parse_uri)
     1873    0.002    0.000    0.168    0.000 serialization.py:1004(persistent_load)
      982    0.167    0.000    0.167    0.000 utils.py:206(_get_preds_fromhm)
    11876    0.014    0.000    0.167    0.000 request.py:302(get_file)
