         16209533 function calls (15578171 primitive calls) in 117.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.321    0.161 dataloader.py:1509(__del__)
    24064    0.320    0.000    0.320    0.000 {built-in method __new__ of type object at 0x70d560}
        3    0.000    0.000    0.319    0.106 array_exprs.py:354(_lower_array_expr)
     1522    0.002    0.000    0.318    0.000 abc.py:84(__new__)
       77    0.000    0.000    0.318    0.004 codegen.py:732(add_llvm_module)
     1257    0.004    0.000    0.318    0.000 pprint.py:189(_pprint_dict)
5808/1939    0.020    0.000    0.317    0.000 context.py:343(get_meminfos)
    16233    0.112    0.000    0.317    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
    58979    0.039    0.000    0.316    0.000 pprint.py:403(_repr)
      994    0.005    0.000    0.313    0.000 templates.py:880(make_overload_template)
      978    0.006    0.000    0.312    0.000 shape_base.py:663(dstack)
       16    0.000    0.000    0.307    0.019 <__array_function__ internals>:177(stack)
3088/1937    0.009    0.000    0.307    0.000 functools.py:947(__get__)
       16    0.001    0.000    0.306    0.019 shape_base.py:383(stack)
     2012    0.013    0.000    0.302    0.000 Image.py:3448(_open_core)
      108    0.000    0.000    0.301    0.003 resnet.py:54(conv1x1)
    23832    0.050    0.000    0.301    0.000 values.py:544(_to_string)
       77    0.006    0.000    0.296    0.004 codegen.py:651(_optimize_functions)
89495/85913    0.041    0.000    0.282    0.000 {built-in method builtins.next}
     1092    0.004    0.000    0.281    0.000 lowering.py:1511(delvar)
     2012    0.013    0.000    0.279    0.000 ImageFile.py:109(__init__)
     1192    0.003    0.000    0.278    0.000 lowering.py:1567(decref)
       48    0.000    0.000    0.274    0.006 resnet.py:40(conv3x3)
   143766    0.273    0.000    0.273    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1221    0.001    0.000    0.273    0.000 context.py:384(decref)
    21444    0.021    0.000    0.272    0.000 ffi.py:76(__exit__)
        5    0.000    0.000    0.269    0.054 arrayobj.py:2074(array_reshape)
    58979    0.022    0.000    0.268    0.000 pprint.py:412(format)
   139502    0.106    0.000    0.265    0.000 event.py:243(notify)
     1125    0.265    0.000    0.265    0.000 {built-in method torch.zeros}
    24522    0.031    0.000    0.261    0.000 event.py:404(end_event)
      978    0.025    0.000    0.258    0.000 utils.py:433(safe_as_int)
     2012    0.040    0.000    0.258    0.000 PngImagePlugin.py:729(_open)
        3    0.000    0.000    0.257    0.086 arrayobj.py:2139(array_reshape_vararg)
     3490    0.256    0.000    0.256    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
179722/31659    0.177    0.000    0.253    0.000 ir.py:317(_rec_list_vars)
    19468    0.021    0.000    0.250    0.000 activation.py:97(forward)
     1257    0.046    0.000    0.248    0.000 pprint.py:345(_format_dict_items)
    21444    0.015    0.000    0.247    0.000 base.py:1246(exit_fn)
