         16247050 function calls (15615716 primitive calls) in 246.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.012    0.001    0.564    0.063 {method 'load' of '_pickle.Unpickler' objects}
      224    0.370    0.002    0.559    0.002 utils.py:117(list_to_packed)
        4    0.000    0.000    0.558    0.139 serialization.py:989(_load)
      978    0.005    0.000    0.558    0.001 ImageDatasetHelpers.py:61(point2transform)
     3922    0.010    0.000    0.552    0.000 <__array_function__ internals>:177(concatenate)
   474177    0.551    0.000    0.551    0.000 {method 'read' of '_io.BufferedReader' objects}
      978    0.013    0.000    0.542    0.001 _geometric.py:1624(estimate_transform)
       12    0.000    0.000    0.538    0.045 resnet.py:225(_make_layer)
28070/27861    0.191    0.000    0.528    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1873    0.005    0.000    0.528    0.000 serialization.py:1004(persistent_load)
       12    0.000    0.000    0.526    0.044 ResNet.py:49(_make_layer)
     1873    0.502    0.000    0.519    0.000 serialization.py:994(load_tensor)
    12798    0.500    0.000    0.516    0.000 {built-in method numpy.array}
     1303    0.003    0.000    0.505    0.000 pprint.py:55(pformat)
        5    0.001    0.000    0.504    0.101 serialization.py:733(_legacy_load)
      978    0.008    0.000    0.499    0.001 _geometric.py:1399(estimate)
     1303    0.003    0.000    0.499    0.000 pprint.py:151(pformat)
      188    0.496    0.003    0.496    0.003 {method '_set_from_file' of 'torch._C.StorageBase' objects}
30400/1303    0.042    0.000    0.493    0.000 pprint.py:163(_format)
       28    0.000    0.000    0.492    0.018 lowering.py:301(create_cfunc_wrapper)
       28    0.001    0.000    0.492    0.018 cpu.py:193(create_cfunc_wrapper)
   157987    0.211    0.000    0.484    0.000 PngImagePlugin.py:160(read)
  524/278    0.001    0.000    0.478    0.002 base.py:261(refresh)
       16    0.000    0.000    0.476    0.030 dataloader.py:1296(_get_data)
       16    0.000    0.000    0.476    0.030 dataloader.py:1150(_try_get_data)
       16    0.001    0.000    0.475    0.030 queues.py:92(get)
