         16235904 function calls (15604546 primitive calls) in 193.677 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.811    0.062 linear.py:90(__init__)
       13    0.000    0.000    0.809    0.062 linear.py:103(reset_parameters)
    13916    0.807    0.000    0.807    0.000 {built-in method torch.full}
        3    0.001    0.000    0.769    0.256 ResNet.py:26(__init__)
        9    0.001    0.000    0.756    0.084 serialization.py:607(load)
    66504    0.753    0.000    0.753    0.000 {circle}
        2    0.000    0.000    0.749    0.374 dataloader.py:1509(__del__)
     1088    0.746    0.001    0.746    0.001 {method 'cuda' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.727    0.727 vgg.py:36(__init__)
        2    0.000    0.000    0.725    0.362 _serialization.py:87(load)
        1    0.000    0.000    0.712    0.712 linalg.py:547(_dot2_codegen)
        1    0.000    0.000    0.712    0.712 linalg.py:482(dot_2_mv)
      318    0.660    0.002    0.660    0.002 {method 'normal_' of 'torch._C._TensorBase' objects}
      978    0.117    0.000    0.642    0.001 utils.py:108(crop)
        2    0.601    0.301    0.601    0.301 {built-in method torch.import_ir_module}
  524/278    0.001    0.000    0.566    0.002 base.py:261(refresh)
     2938    0.005    0.000    0.559    0.000 <__array_function__ internals>:177(amin)
     2938    0.008    0.000    0.548    0.000 fromnumeric.py:2829(amin)
       46    0.001    0.000    0.545    0.012 compiler.py:413(__init__)
     2935    0.007    0.000    0.541    0.000 fromnumeric.py:51(_wrapfunc)
        6    0.000    0.000    0.539    0.090 hub.py:663(load_state_dict_from_url)
     2938    0.004    0.000    0.531    0.000 <__array_function__ internals>:177(amax)
        4    0.000    0.000    0.531    0.133 _api.py:62(get_state_dict)
        1    0.001    0.001    0.530    0.530 DECA.py:2817(_setup_renderer)
        1    0.000    0.000    0.523    0.523 Renderer.py:175(__init__)
     2938    0.005    0.000    0.523    0.000 fromnumeric.py:2703(amax)
     1303    0.004    0.000    0.520    0.000 pprint.py:55(pformat)
     1303    0.003    0.000    0.513    0.000 pprint.py:151(pformat)
   157987    0.229    0.000    0.510    0.000 PngImagePlugin.py:160(read)
30400/1303    0.043    0.000    0.507    0.000 pprint.py:163(_format)
      978    0.004    0.000    0.495    0.001 ImageDatasetHelpers.py:61(point2transform)
        2    0.000    0.000    0.490    0.245 dataloader.py:431(__iter__)
        2    0.000    0.000    0.490    0.245 dataloader.py:385(_get_iterator)
        2    0.001    0.000    0.490    0.245 dataloader.py:1037(__init__)
      524    0.015    0.000    0.489    0.001 cpu.py:60(load_additional_registries)
      978    0.009    0.000    0.481    0.000 _geometric.py:1624(estimate_transform)
     2640    0.037    0.000    0.477    0.000 batchnorm.py:134(forward)
   474177    0.459    0.000    0.459    0.000 {method 'read' of '_io.BufferedReader' objects}
     2130    0.027    0.000    0.456    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       12    0.000    0.000    0.449    0.037 resnet.py:225(_make_layer)
      978    0.007    0.000    0.448    0.000 _geometric.py:1399(estimate)
       12    0.000    0.000    0.436    0.036 ResNet.py:49(_make_layer)
        9    0.011    0.001    0.435    0.048 {method 'load' of '_pickle.Unpickler' objects}
